L,U,T
142,149.0,15
139,151.0,121
150,159.0,1
141,144.0,13
159,164.0,159
152,157.0,15
103,110.0,15
170,173.0,15
135,142.0,17
172,175.0,17
142,147.0,13
187,inf,37
181,187.0,181
57,inf,57
124,129.0,63
163,169.0,133
146,151.0,1
157,163.0,1
171,177.0,14
160,165.0,14
156,159.0,14
178,182.0,17
153,160.0,13
147,153.0,15
89,96.0,15
152,159.0,15
143,150.0,17
187,inf,15
174,185.0,14
134,146.0,14
164,164.0,13
163,168.0,17
142,147.0,24
146,150.0,13
129,134.0,16
129,131.0,16
165,172.0,112
187,inf,157
184,190.0,15
187,inf,25
156,161.0,20
145,151.0,14
143,148.0,18
58,157.0,13
122,128.0,16
135,142.0,13
166,171.0,13
141,147.0,13
151,159.0,14
146,153.0,13
175,187.0,13
146,155.0,13
187,inf,13
113,119.0,26
175,184.0,15
119,124.0,17
160,168.0,17
175,182.0,13
136,143.0,13
189,inf,13
128,137.0,15
139,146.0,17
160,168.0,160
133,142.0,17
175,181.0,15
139,145.0,1
126,140.0,14
117,122.0,13
152,157.0,17
142,149.0,13
143,150.0,13
188,inf,13
188,inf,16
121,128.0,49
151,160.0,133
178,183.0,114
133,138.0,103
153,158.0,13
121,inf,37
16,inf,16
43,inf,36
181,187.0,13
163,169.0,13
135,138.0,13
64,67.0,1
99,104.0,13
136,142.0,16
155,161.0,14
92,inf,1
157,164.0,102
130,141.0,15
170,177.0,17
133,140.0,16
152,160.0,13
176,181.0,13
106,110.0,13
165,170.0,15
117,132.0,25
139,145.0,14
179,185.0,16
169,179.0,13
109,113.0,13
173,178.0,14
133,141.0,18
121,128.0,15
157,163.0,14
135,139.0,14
149,153.0,15
123,128.0,19
169,175.0,19
131,137.0,22
160,166.0,16
169,172.0,16
167,172.0,15
122,128.0,13
98,108.0,1
114,119.0,1
186,inf,14
136,141.0,1
148,156.0,21
152,157.0,13
165,171.0,25
153,156.0,25
175,187.0,15
180,184.0,16
121,inf,13
139,147.0,43
166,175.0,22
158,164.0,2
140,146.0,25
135,149.0,15
148,166.0,13
147,153.0,13
134,147.0,26
150,154.0,18
187,inf,13
179,inf,179
148,155.0,24
169,175.0,17
136,144.0,14
118,124.0,18
140,148.0,25
115,inf,25
148,156.0,17
128,133.0,20
162,162.0,13
181,187.0,25
86,96.0,1
157,165.0,1
127,133.0,1
188,inf,15
139,147.0,13
148,155.0,15
165,176.0,14
189,inf,14
157,166.0,18
147,155.0,13
183,inf,14
155,161.0,14
110,115.0,14
158,163.0,14
189,inf,14
158,166.0,14
132,137.0,88
176,182.0,15
142,148.0,13
155,160.0,13
140,146.0,13
178,181.0,125
181,189.0,1
181,inf,51
45,inf,28
133,139.0,13
133,143.0,64
128,134.0,4
152,158.0,15
170,173.0,15
84,90.0,13
69,inf,3
170,179.0,18
22,inf,22
143,146.0,23
176,182.0,14
163,170.0,16
147,151.0,16
182,inf,13
181,188.0,157
146,156.0,86
177,180.0,86
137,142.0,17
189,inf,21
144,147.0,21
155,160.0,13
86,91.0,13
142,151.0,14
136,141.0,13
136,141.0,25
182,190.0,73
159,167.0,25
180,183.0,25
174,186.0,14
148,156.0,13
161,164.0,13
164,175.0,17
91,97.0,13
175,181.0,26
157,163.0,26
180,185.0,13
141,147.0,13
164,170.0,38
67,inf,25
169,179.0,73
117,124.0,27
122,128.0,25
106,110.0,22
157,163.0,13
162,169.0,26
188,inf,37
109,115.0,20
149,151.0,18
121,130.0,13
153,160.0,13
137,143.0,15
189,inf,15
139,145.0,15
161,167.0,15
154,161.0,15
159,165.0,3
140,145.0,13
148,151.0,7
171,176.0,18
130,134.0,13
149,152.0,2
174,179.0,2
146,148.0,2
158,160.0,2
167,169.0,15
175,181.0,1
119,121.0,119
155,162.0,15
151,158.0,15
166,173.0,19
167,172.0,13
178,188.0,13
135,inf,100
148,157.0,139
139,146.0,13
145,152.0,13
171,180.0,17
175,182.0,30
164,171.0,157
153,159.0,27
168,170.0,28
144,148.0,17
184,inf,13
155,162.0,42
146,154.0,15
160,166.0,39
160,166.0,17
163,169.0,14
171,177.0,25
158,165.0,13
110,118.0,14
152,160.0,14
157,164.0,13
189,inf,27
156,161.0,14
167,173.0,14
133,142.0,49
169,177.0,1
163,169.0,112
133,139.0,13
130,inf,98
113,120.0,15
190,inf,15
162,164.0,15
131,136.0,18
186,inf,18
153,157.0,13
153,157.0,13
134,140.0,14
91,98.0,50
29,inf,14
47,inf,32
93,99.0,13
121,131.0,14
132,136.0,14
139,142.0,14
145,150.0,26
175,178.0,26
158,166.0,14
122,133.0,15
97,105.0,13
133,140.0,13
146,152.0,13
154,159.0,13
148,155.0,20
160,163.0,16
170,180.0,2
106,111.0,2
97,100.0,2
134,141.0,14
175,181.0,146
148,155.0,13
104,115.0,13
170,180.0,1
141,145.0,1
145,154.0,1
162,172.0,13
135,141.0,15
159,165.0,15
140,149.0,21
113,120.0,13
133,139.0,133
166,178.0,13
135,141.0,13
183,inf,17
170,176.0,17
117,122.0,17
151,158.0,15
155,165.0,17
151,157.0,13
132,134.0,13
110,118.0,13
171,177.0,17
169,178.0,134
94,98.0,1
185,190.0,1
121,129.0,13
103,133.0,15
155,158.0,13
36,inf,13
108,113.0,13
167,170.0,19
123,128.0,14
131,137.0,131
140,148.0,13
169,181.0,85
173,179.0,15
134,141.0,16
117,124.0,13
165,169.0,13
143,146.0,23
145,154.0,13
159,162.0,13
166,173.0,17
186,inf,170
67,inf,61
159,inf,74
67,74.0,13
133,140.0,14
153,155.0,121
145,158.0,17
164,169.0,14
120,inf,85
166,169.0,13
118,121.0,61
161,167.0,30
174,180.0,13
165,171.0,18
151,157.0,120
142,146.0,88
145,148.0,14
133,141.0,49
123,130.0,13
155,161.0,19
128,133.0,13
140,146.0,14
151,157.0,13
140,146.0,15
122,130.0,13
157,165.0,16
175,180.0,13
129,131.0,13
143,147.0,13
157,165.0,15
187,inf,14
163,176.0,14
121,130.0,13
158,166.0,13
85,91.0,19
182,189.0,17
169,176.0,13
98,107.0,17
184,inf,23
152,157.0,14
146,155.0,10
127,131.0,26
139,145.0,16
160,165.0,121
165,169.0,13
157,165.0,13
133,140.0,13
151,158.0,15
164,179.0,13
87,93.0,15
135,143.0,24
136,145.0,13
129,139.0,32
128,133.0,14
71,75.0,17
165,172.0,1
190,inf,1
146,150.0,1
181,188.0,13
119,125.0,16
139,145.0,13
145,155.0,13
169,175.0,22
170,177.0,26
141,155.0,13
130,132.0,16
82,95.0,52
176,181.0,50
153,160.0,136
157,168.0,25
137,143.0,15
139,148.0,37
148,154.0,18
154,157.0,108
182,188.0,13
139,146.0,13
162,168.0,17
176,179.0,176
121,124.0,13
151,156.0,13
91,100.0,15
94,102.0,13
132,135.0,13
133,142.0,13
133,144.0,13
156,163.0,18
141,148.0,13
130,133.0,95
131,134.0,19
122,130.0,25
147,155.0,13
98,106.0,13
163,172.0,13
148,155.0,18
161,166.0,15
176,182.0,13
177,182.0,13
139,145.0,14
175,181.0,1
155,162.0,15
146,153.0,13
164,171.0,13
133,140.0,15
147,154.0,13
133,139.0,13
116,122.0,13
157,167.0,15
150,157.0,14
147,161.0,14
117,123.0,14
110,118.0,19
139,143.0,13
148,152.0,23
161,165.0,18
165,177.0,13
117,126.0,13
148,155.0,15
159,165.0,13
109,inf,18
158,164.0,25
149,154.0,26
157,163.0,14
133,144.0,22
157,167.0,2
123,130.0,14
112,118.0,14
119,119.0,14
184,inf,1
145,152.0,13
181,190.0,14
141,149.0,15
187,inf,163
186,inf,13
186,inf,121
158,168.0,27
157,166.0,15
157,164.0,15
122,128.0,98
158,168.0,13
151,157.0,26
182,188.0,39
134,139.0,13
153,157.0,2
127,135.0,13
157,164.0,13
166,169.0,161
169,175.0,18
166,170.0,17
129,131.0,17
159,165.0,16
116,124.0,13
183,inf,13
154,160.0,17
154,161.0,14
189,inf,133
165,170.0,14
139,151.0,13
158,166.0,158
181,189.0,124
170,175.0,15
117,121.0,15
22,inf,16
106,111.0,49
181,186.0,14
169,175.0,1
183,inf,14
141,154.0,14
171,177.0,20
129,135.0,20
91,98.0,29
163,169.0,25
133,141.0,16
130,133.0,13
70,inf,13
122,129.0,15
173,178.0,15
165,178.0,13
175,178.0,16
71,78.0,17
177,183.0,13
143,150.0,14
183,190.0,73
138,143.0,13
103,109.0,13
140,146.0,15
46,inf,13
173,177.0,15
188,inf,15
171,180.0,15
169,180.0,21
127,133.0,126
154,163.0,20
157,163.0,14
169,176.0,13
151,155.0,40
171,180.0,13
169,175.0,1
158,165.0,15
156,162.0,15
182,187.0,25
163,169.0,20
187,inf,26
153,158.0,14
188,inf,83
151,158.0,17
159,166.0,13
169,176.0,13
16,inf,13
148,151.0,13
152,157.0,13
121,127.0,13
130,135.0,15
133,140.0,127
172,177.0,17
170,176.0,61
163,171.0,14
103,109.0,13
187,inf,13
165,169.0,25
111,120.0,13
148,157.0,25
147,165.0,13
148,164.0,13
163,171.0,14
124,130.0,17
165,170.0,3
129,inf,16
179,184.0,48
153,159.0,13
164,170.0,20
164,181.0,164
178,inf,22
109,inf,37
145,150.0,13
133,143.0,16
155,162.0,16
157,164.0,157
151,157.0,1
163,169.0,1
161,167.0,15
151,159.0,17
157,164.0,1
169,175.0,1
109,115.0,14
151,157.0,1
164,171.0,15
165,169.0,15
85,91.0,13
141,145.0,1
121,127.0,13
115,121.0,37
117,121.0,13
121,131.0,17
159,165.0,17
140,146.0,15
152,157.0,1
147,157.0,14
140,146.0,15
172,179.0,15
133,139.0,14
152,158.0,16
157,162.0,13
169,177.0,13
146,151.0,13
122,130.0,16
145,156.0,1
124,130.0,16
145,152.0,26
188,inf,13
145,152.0,18
133,142.0,1
174,181.0,1
156,156.0,13
152,160.0,26
121,130.0,13
109,118.0,13
161,177.0,115
149,163.0,115
158,163.0,13
165,169.0,1
128,133.0,2
140,147.0,13
178,181.0,13
168,175.0,96
121,126.0,87
97,105.0,13
158,165.0,13
128,134.0,18
152,159.0,25
134,148.0,20
147,153.0,15
161,167.0,41
143,148.0,17
148,152.0,14
156,163.0,13
152,157.0,15
145,150.0,27
169,177.0,109
171,173.0,13
126,128.0,18
147,153.0,15
134,139.0,15
91,98.0,14
135,142.0,15
169,188.0,13
132,138.0,13
157,165.0,26
142,147.0,26
189,inf,14
130,inf,123
111,119.0,17
131,134.0,15
168,inf,153
151,157.0,13
124,127.0,13
141,154.0,1
147,153.0,13
147,151.0,13
151,156.0,13
152,158.0,14
175,181.0,13
123,129.0,13
157,163.0,13
118,122.0,26
157,162.0,26
151,157.0,38
152,158.0,14
152,158.0,14
141,145.0,14
128,134.0,13
157,163.0,14
176,182.0,3
141,146.0,13
163,169.0,16
121,129.0,13
118,123.0,13
166,175.0,110
149,155.0,25
154,156.0,20
134,139.0,13
174,181.0,16
173,181.0,16
162,165.0,110
110,117.0,17
144,148.0,13
156,163.0,13
146,151.0,13
121,128.0,16
91,99.0,14
67,inf,28
78,84.0,27
159,165.0,30
98,108.0,21
154,156.0,21
72,inf,63
169,176.0,15
169,175.0,127
150,154.0,14
145,154.0,1
190,inf,1
182,190.0,27
110,116.0,14
158,166.0,16
164,171.0,13
147,153.0,26
147,153.0,13
161,166.0,13
13,141.0,13
157,163.0,97
76,inf,73
163,169.0,13
146,152.0,27
59,inf,18
122,128.0,14
154,158.0,122
150,157.0,19
110,116.0,19
159,165.0,14
153,159.0,14
169,179.0,26
159,165.0,17
178,183.0,13
186,inf,158
133,139.0,26
175,181.0,26
158,165.0,15
175,181.0,19
148,158.0,19
91,97.0,13
130,133.0,13
159,171.0,13
110,119.0,14
140,148.0,15
183,189.0,14
135,142.0,14
188,inf,19
110,119.0,15
141,146.0,18
82,inf,25
189,inf,13
189,inf,13
164,173.0,13
162,166.0,13
97,106.0,13
187,inf,158
163,169.0,15
157,167.0,18
167,175.0,13
154,157.0,144
31,inf,13
133,142.0,13
175,181.0,139
123,129.0,13
67,inf,61
157,164.0,13
133,140.0,13
176,181.0,15
175,181.0,13
112,115.0,13
160,166.0,3
118,121.0,14
175,184.0,19
157,164.0,13
163,168.0,13
160,166.0,13
128,134.0,14
163,170.0,85
178,182.0,2
171,178.0,2
139,146.0,1
157,163.0,1
176,181.0,14
178,182.0,26
186,190.0,19
145,151.0,13
161,163.0,13
124,132.0,27
164,169.0,14
170,175.0,1
142,147.0,1
168,171.0,13
145,153.0,13
145,155.0,14
125,128.0,13
175,181.0,13
160,164.0,86
159,167.0,13
70,inf,13
135,142.0,15
175,181.0,25
175,183.0,26
140,145.0,18
17,inf,15
128,132.0,15
99,107.0,17
170,175.0,14
105,110.0,1
151,157.0,15
163,169.0,132
149,156.0,13
70,inf,61
164,171.0,13
130,151.0,127
181,187.0,50
181,189.0,133
175,181.0,20
178,182.0,22
20,inf,16
110,inf,13
181,181.0,13
127,135.0,17
158,164.0,13
169,178.0,26
132,137.0,19
170,177.0,14
164,169.0,16
147,156.0,15
169,180.0,20
155,161.0,26
175,181.0,26
126,132.0,26
118,123.0,26
145,153.0,26
179,182.0,26
144,148.0,16
46,inf,26
49,inf,25
159,166.0,34
182,190.0,14
164,169.0,49
134,147.0,26
158,164.0,90
163,169.0,13
134,140.0,15
148,156.0,13
135,147.0,27
159,165.0,15
176,181.0,54
103,109.0,14
142,147.0,14
175,182.0,28
152,159.0,13
175,178.0,43
163,166.0,51
111,inf,14
142,147.0,49
146,151.0,14
178,184.0,14
169,176.0,14
117,123.0,14
17,inf,17
137,142.0,22
145,176.0,14
67,inf,61
168,180.0,74
166,176.0,18
56,inf,50
154,159.0,62
149,155.0,17
128,134.0,17
157,164.0,24
158,164.0,15
153,159.0,17
142,147.0,17
147,151.0,13
187,inf,15
90,95.0,15
145,155.0,14
185,inf,26
137,142.0,15
170,179.0,15
139,145.0,15
148,154.0,15
139,146.0,32
139,146.0,15
164,169.0,133
148,153.0,15
164,170.0,17
169,176.0,17
190,inf,3
169,178.0,98
155,160.0,14
128,134.0,17
146,152.0,5
134,143.0,19
139,143.0,57
128,134.0,18
62,inf,15
170,177.0,2
141,147.0,2
163,166.0,13
112,120.0,14
172,179.0,27
167,172.0,27
163,169.0,13
113,119.0,15
139,145.0,15
139,145.0,2
129,133.0,22
144,149.0,18
159,165.0,15
81,87.0,13
104,109.0,13
158,164.0,15
181,inf,13
135,144.0,13
121,127.0,13
121,127.0,13
163,167.0,13
128,134.0,26
137,141.0,15
109,115.0,15
163,169.0,17
183,inf,25
137,148.0,25
82,inf,14
157,164.0,1
139,151.0,16
162,172.0,13
70,inf,13
66,73.0,2
156,160.0,45
177,181.0,49
143,149.0,3
158,165.0,139
151,161.0,13
152,158.0,26
175,185.0,25
104,112.0,19
116,123.0,16
147,155.0,16
151,157.0,42
143,147.0,13
175,182.0,17
98,104.0,15
121,127.0,25
159,166.0,73
91,99.0,14
152,158.0,15
130,137.0,16
164,170.0,28
133,140.0,109
117,123.0,15
168,173.0,15
182,187.0,13
163,169.0,13
163,175.0,23
133,140.0,14
145,155.0,50
143,150.0,25
175,182.0,13
159,165.0,15
182,185.0,16
133,144.0,18
187,inf,175
170,177.0,15
159,165.0,51
123,130.0,15
168,170.0,15
157,168.0,13
179,184.0,18
166,173.0,15
157,163.0,15
133,139.0,15
173,178.0,16
103,106.0,37
146,152.0,13
157,163.0,127
166,171.0,13
139,144.0,13
59,inf,48
95,102.0,65
145,152.0,13
181,188.0,13
146,159.0,15
157,164.0,2
169,174.0,2
132,137.0,26
164,170.0,15
180,186.0,18
99,105.0,14
154,162.0,66
168,173.0,26
169,179.0,13
138,156.0,101
118,121.0,13
18,inf,18
59,inf,14
59,inf,17
103,109.0,14
89,95.0,28
70,inf,40
153,160.0,13
162,165.0,17
100,104.0,15
162,169.0,1
188,inf,15
99,106.0,13
162,169.0,122
157,160.0,151
112,118.0,13
175,181.0,13
145,148.0,13
46,inf,25
22,inf,13
107,111.0,1
140,146.0,13
182,inf,13
157,173.0,123
147,151.0,63
152,158.0,15
73,168.0,61
170,177.0,1
109,115.0,13
169,178.0,18
162,167.0,18
155,162.0,18
157,164.0,1
85,95.0,2
181,187.0,17
133,139.0,13
147,152.0,14
158,165.0,14
134,141.0,14
146,inf,13
146,inf,125
157,163.0,19
119,126.0,14
128,133.0,13
170,179.0,13
169,176.0,13
34,inf,22
178,185.0,25
74,81.0,14
179,184.0,17
184,inf,14
97,103.0,14
161,166.0,15
117,123.0,13
160,165.0,13
175,181.0,13
189,inf,14
134,143.0,17
175,185.0,13
123,128.0,13
153,159.0,1
162,170.0,13
146,153.0,20
164,170.0,14
159,162.0,99
139,145.0,19
157,162.0,19
140,149.0,50
91,inf,50
134,140.0,27
148,155.0,25
160,166.0,22
124,130.0,22
169,179.0,13
163,169.0,13
163,169.0,62
110,115.0,16
143,150.0,14
130,143.0,14
131,138.0,17
161,167.0,14
129,inf,16
145,155.0,25
171,178.0,25
139,148.0,13
140,145.0,49
153,157.0,25
115,121.0,2
157,164.0,13
134,137.0,14
169,175.0,164
141,147.0,13
178,181.0,13
109,inf,18
134,144.0,13
131,136.0,13
148,155.0,20
164,170.0,17
97,101.0,17
155,160.0,13
175,181.0,15
134,144.0,1
150,158.0,1
134,141.0,13
152,158.0,13
135,139.0,13
121,129.0,13
151,155.0,13
180,183.0,15
147,154.0,3
158,164.0,13
121,128.0,13
143,145.0,37
146,151.0,17
172,175.0,17
154,154.0,17
111,118.0,13
62,inf,14
171,177.0,158
155,158.0,15
166,173.0,15
179,182.0,26
155,162.0,42
142,146.0,14
67,inf,25
98,107.0,73
130,136.0,125
154,160.0,13
171,176.0,14
189,inf,14
145,150.0,13
109,116.0,19
168,172.0,58
126,138.0,13
131,135.0,15
182,188.0,17
158,163.0,1
139,145.0,1
133,135.0,13
140,148.0,14
162,170.0,13
121,128.0,16
131,137.0,18
157,166.0,34
188,inf,13
146,152.0,13
143,146.0,16
175,182.0,13
157,163.0,133
94,101.0,25
187,inf,13
133,146.0,13
112,inf,13
189,inf,157
171,178.0,14
122,inf,122
157,164.0,127
133,139.0,13
164,170.0,86
122,128.0,86
137,143.0,16
135,140.0,13
169,175.0,14
175,181.0,134
145,155.0,133
116,121.0,13
135,150.0,13
159,163.0,14
181,inf,13
157,164.0,18
109,115.0,14
109,116.0,14
176,179.0,13
178,186.0,13
130,134.0,13
169,175.0,16
164,169.0,59
151,inf,13
157,162.0,1
157,166.0,13
165,173.0,13
162,167.0,18
153,158.0,15
173,179.0,13
135,139.0,21
138,147.0,17
172,180.0,17
124,131.0,16
134,139.0,13
174,180.0,139
180,186.0,138
162,169.0,16
163,173.0,27
130,134.0,13
136,141.0,17
155,160.0,14
134,140.0,26
149,155.0,26
143,146.0,17
157,163.0,25
169,175.0,19
178,186.0,13
151,160.0,15
120,130.0,111
122,inf,122
121,127.0,13
127,133.0,13
143,145.0,10
112,117.0,15
164,174.0,2
167,173.0,17
115,123.0,109
114,121.0,19
93,98.0,15
172,179.0,38
175,181.0,40
127,133.0,13
164,170.0,26
158,166.0,38
186,inf,14
71,inf,14
151,157.0,13
138,142.0,15
172,175.0,15
185,188.0,14
135,140.0,14
159,164.0,27
153,162.0,16
162,173.0,42
143,147.0,1
26,inf,26
109,inf,31
162,169.0,13
169,181.0,124
116,121.0,17
150,154.0,14
164,169.0,1
162,169.0,123
162,168.0,38
128,136.0,38
31,inf,31
35,inf,31
135,143.0,13
129,135.0,13
160,168.0,13
113,119.0,52
123,128.0,16
156,158.0,49
161,167.0,15
158,165.0,13
146,156.0,13
158,165.0,13
158,165.0,14
158,166.0,13
176,181.0,25
157,166.0,14
85,91.0,13
149,156.0,49
175,181.0,64
164,171.0,49
133,139.0,19
123,129.0,13
134,140.0,16
124,131.0,4
134,140.0,29
176,181.0,17
144,146.0,17
161,168.0,13
102,108.0,14
144,147.0,13
131,137.0,13
146,156.0,25
143,147.0,15
164,169.0,14
115,inf,16
110,118.0,16
131,137.0,1
181,187.0,1
151,157.0,9
145,151.0,9
121,125.0,1
146,164.0,17
142,147.0,17
181,inf,25
171,174.0,14
153,164.0,14
142,152.0,13
181,188.0,1
175,182.0,13
55,inf,49
187,inf,61
145,153.0,14
170,180.0,14
170,177.0,14
185,190.0,14
157,166.0,1
157,168.0,17
128,134.0,14
146,159.0,14
127,133.0,13
142,145.0,14
157,163.0,1
150,155.0,14
144,150.0,14
135,140.0,36
158,170.0,3
102,104.0,13
124,131.0,13
131,138.0,1
139,146.0,13
121,129.0,15
128,133.0,13
133,139.0,15
163,170.0,13
127,133.0,25
133,140.0,3
179,183.0,3
121,131.0,13
159,165.0,17
171,186.0,13
139,146.0,27
139,146.0,27
130,136.0,14
139,147.0,14
135,146.0,27
173,187.0,86
157,163.0,13
150,160.0,17
145,152.0,13
122,130.0,13
161,167.0,13
183,inf,16
132,135.0,23
170,179.0,26
144,150.0,15
117,123.0,45
146,152.0,15
151,158.0,14
167,169.0,1
145,152.0,61
165,169.0,17
159,165.0,13
175,181.0,13
175,181.0,14
148,154.0,17
157,165.0,14
139,146.0,27
139,145.0,13
165,169.0,17
127,133.0,17
155,160.0,13
160,170.0,13
151,157.0,14
174,180.0,28
117,123.0,26
171,175.0,28
156,162.0,18
136,142.0,15
121,129.0,15
122,130.0,26
181,188.0,15
165,173.0,14
88,94.0,17
140,152.0,18
131,135.0,15
153,159.0,13
187,inf,1
145,152.0,1
162,166.0,22
169,179.0,25
142,150.0,15
174,179.0,15
155,158.0,17
157,163.0,16
129,135.0,14
169,175.0,14
143,150.0,17
126,136.0,17
121,126.0,14
133,139.0,25
162,168.0,20
103,110.0,19
125,135.0,19
134,141.0,18
134,143.0,15
72,inf,15
145,151.0,13
148,152.0,13
147,155.0,19
119,126.0,84
86,94.0,13
168,inf,150
173,179.0,111
152,inf,145
169,177.0,16
118,126.0,14
159,165.0,14
161,168.0,13
158,163.0,14
154,162.0,13
139,148.0,15
151,160.0,19
151,160.0,19
145,152.0,25
173,180.0,15
88,92.0,14
122,125.0,14
165,168.0,122
158,161.0,122
153,156.0,122
164,171.0,14
168,174.0,30
120,126.0,20
115,121.0,21
162,165.0,18
165,169.0,15
124,131.0,15
94,99.0,14
187,inf,109
170,176.0,13
100,106.0,26
133,139.0,13
189,inf,13
169,179.0,26
127,133.0,49
153,159.0,37
172,177.0,13
133,145.0,16
180,188.0,15
130,137.0,15
175,181.0,17
157,163.0,122
180,185.0,122
145,151.0,40
157,163.0,13
142,150.0,13
137,143.0,17
155,160.0,13
174,180.0,15
159,165.0,22
150,161.0,14
161,166.0,14
164,170.0,14
155,160.0,26
71,inf,62
110,117.0,14
181,187.0,127
140,146.0,16
135,142.0,18
180,inf,19
91,100.0,13
171,177.0,17
162,173.0,16
162,169.0,138
126,129.0,1
122,137.0,15
137,142.0,15
139,149.0,13
159,165.0,19
110,117.0,17
150,165.0,13
147,154.0,15
189,inf,15
138,148.0,13
141,147.0,17
169,173.0,14
138,143.0,27
149,155.0,14
162,171.0,16
164,170.0,127
146,152.0,13
158,165.0,14
158,168.0,20
167,173.0,15
116,133.0,13
151,159.0,17
160,167.0,160
125,127.0,14
164,169.0,14
169,174.0,2
171,179.0,20
159,165.0,17
117,123.0,15
169,175.0,145
114,120.0,15
166,169.0,15
171,179.0,13
160,164.0,24
156,160.0,24
149,169.0,14
148,169.0,16
178,181.0,26
154,168.0,13
141,147.0,1
121,133.0,13
182,inf,13
169,172.0,14
159,166.0,13
141,147.0,14
182,inf,14
170,179.0,26
130,136.0,39
110,117.0,1
115,121.0,109
123,129.0,14
148,inf,13
185,inf,13
175,181.0,78
151,157.0,13
163,175.0,13
187,inf,25
153,159.0,29
135,141.0,14
150,163.0,90
145,152.0,37
177,182.0,18
180,184.0,14
136,142.0,3
141,146.0,15
146,151.0,15
107,110.0,18
167,169.0,39
166,173.0,17
151,161.0,15
117,inf,13
163,168.0,17
164,171.0,15
115,125.0,14
157,165.0,14
134,140.0,50
121,131.0,19
151,163.0,14
110,116.0,13
177,182.0,13
177,179.0,13
104,109.0,61
175,178.0,17
145,151.0,13
169,175.0,13
111,116.0,75
124,129.0,75
169,175.0,14
157,164.0,15
152,158.0,13
176,181.0,17
178,182.0,17
153,155.0,17
166,170.0,14
139,169.0,139
141,145.0,13
152,157.0,13
70,inf,13
136,142.0,27
158,165.0,26
152,160.0,13
131,137.0,17
145,154.0,1
134,139.0,1
178,182.0,18
156,161.0,18
145,151.0,2
139,145.0,25
147,154.0,49
113,120.0,13
134,142.0,13
168,174.0,30
73,79.0,13
145,155.0,13
139,145.0,13
154,158.0,14
152,159.0,44
187,inf,14
163,169.0,13
145,151.0,13
182,186.0,26
181,189.0,13
145,154.0,49
165,173.0,21
175,181.0,13
110,115.0,13
91,99.0,13
177,180.0,13
174,183.0,19
181,187.0,13
141,147.0,15
145,155.0,13
152,159.0,14
143,150.0,17
143,150.0,17
129,132.0,17
140,149.0,14
164,171.0,38
146,159.0,16
150,156.0,29
129,133.0,14
189,inf,14
82,inf,65
62,inf,26
162,168.0,18
148,164.0,15
171,177.0,17
127,133.0,14
166,174.0,13
160,173.0,13
122,132.0,13
62,inf,61
158,162.0,73
152,157.0,25
150,154.0,15
115,122.0,13
161,167.0,15
139,145.0,13
160,165.0,13
127,133.0,62
115,118.0,62
119,125.0,14
106,109.0,15
114,123.0,13
157,164.0,13
135,139.0,13
161,167.0,13
157,164.0,16
157,165.0,1
163,167.0,13
189,inf,13
175,181.0,13
160,163.0,13
173,182.0,14
169,173.0,14
170,177.0,44
97,104.0,13
133,133.0,13
43,inf,13
155,159.0,13
188,inf,16
157,166.0,21
131,133.0,21
124,133.0,13
140,145.0,18
148,155.0,15
145,154.0,1
170,179.0,1
146,152.0,26
128,133.0,20
118,126.0,66
168,176.0,15
115,122.0,13
143,147.0,17
179,184.0,13
108,114.0,18
133,141.0,14
111,118.0,20
157,163.0,13
168,177.0,13
166,171.0,125
19,inf,17
177,181.0,13
145,151.0,13
102,114.0,17
169,176.0,13
133,141.0,16
133,145.0,27
188,inf,123
174,177.0,15
145,150.0,25
109,115.0,25
151,158.0,26
116,122.0,17
115,121.0,17
184,inf,13
119,125.0,17
164,170.0,13
123,129.0,29
120,123.0,14
189,inf,14
175,175.0,168
147,153.0,29
164,169.0,147
179,186.0,17
183,190.0,27
109,118.0,18
159,166.0,14
146,156.0,2
147,151.0,14
164,174.0,14
125,127.0,37
128,133.0,13
143,149.0,13
165,170.0,17
133,140.0,17
163,169.0,18
157,163.0,26
154,157.0,14
128,133.0,3
181,188.0,13
157,163.0,13
82,88.0,13
167,169.0,14
141,143.0,13
94,inf,28
130,133.0,31
117,123.0,27
182,190.0,2
123,131.0,13
133,139.0,13
187,inf,13
146,156.0,13
163,170.0,17
109,115.0,17
177,180.0,18
153,159.0,17
139,142.0,17
169,177.0,17
134,144.0,17
141,148.0,13
157,162.0,14
181,188.0,15
54,inf,15
164,171.0,13
161,167.0,13
135,140.0,18
170,176.0,15
163,169.0,13
160,166.0,53
99,105.0,14
181,187.0,19
127,inf,13
169,175.0,13
158,172.0,17
20,inf,14
163,174.0,14
166,172.0,16
149,156.0,13
142,145.0,2
157,163.0,1
159,166.0,19
151,158.0,14
173,175.0,14
128,135.0,75
69,inf,28
157,162.0,13
165,170.0,15
185,inf,15
187,inf,13
139,146.0,3
146,152.0,146
189,inf,49
146,154.0,88
150,154.0,13
146,154.0,17
145,158.0,15
158,164.0,15
169,177.0,50
176,181.0,1
157,163.0,15
105,110.0,14
124,132.0,13
172,175.0,13
109,115.0,19
162,169.0,13
187,inf,18
166,172.0,95
148,155.0,26
158,166.0,63
121,131.0,16
158,168.0,16
109,112.0,16
110,116.0,13
174,180.0,14
182,187.0,15
122,127.0,14
109,118.0,14
158,165.0,1
104,112.0,13
151,163.0,13
102,108.0,14
145,153.0,14
18,inf,13
101,108.0,21
149,163.0,85
133,144.0,16
