L,U,T
130,141.0,14
176,182.0,27
160,173.0,15
163,170.0,15
187,inf,25
155,159.0,1
135,141.0,14
133,143.0,14
159,168.0,18
121,127.0,15
133,146.0,26
97,104.0,2
145,156.0,2
134,146.0,13
133,139.0,15
145,148.0,14
145,151.0,86
146,152.0,38
128,134.0,38
119,inf,110
125,129.0,14
142,147.0,15
121,131.0,14
118,123.0,1
95,99.0,3
157,165.0,16
114,118.0,25
181,188.0,17
121,127.0,19
111,116.0,17
162,169.0,15
181,183.0,14
34,inf,13
94,107.0,25
159,168.0,14
134,141.0,13
158,168.0,13
177,182.0,25
154,159.0,13
150,155.0,17
145,151.0,13
146,151.0,15
139,146.0,15
130,137.0,84
67,inf,14
172,179.0,14
137,139.0,15
179,187.0,18
148,151.0,16
151,159.0,15
113,117.0,13
143,150.0,19
150,155.0,13
166,174.0,14
164,171.0,13
125,128.0,38
167,172.0,16
157,164.0,13
134,140.0,14
163,169.0,13
131,134.0,111
163,169.0,13
152,157.0,13
142,146.0,3
164,170.0,19
140,147.0,62
140,145.0,125
155,161.0,26
150,160.0,15
174,180.0,121
176,181.0,15
134,144.0,15
181,188.0,14
164,172.0,14
148,163.0,130
181,184.0,13
188,inf,13
72,inf,63
146,151.0,76
173,179.0,26
141,145.0,14
146,156.0,20
140,151.0,16
127,133.0,19
153,158.0,99
135,141.0,99
163,169.0,17
131,134.0,14
125,130.0,14
145,152.0,12
173,178.0,14
134,140.0,13
145,151.0,61
149,151.0,61
153,159.0,16
139,144.0,25
122,138.0,19
155,160.0,14
164,172.0,19
127,139.0,13
117,120.0,37
164,167.0,17
187,inf,17
175,183.0,13
115,122.0,63
141,150.0,13
156,161.0,13
172,184.0,13
155,160.0,13
139,147.0,14
102,112.0,14
133,139.0,14
126,131.0,17
153,157.0,13
163,169.0,13
145,155.0,14
62,inf,15
59,inf,42
169,177.0,73
157,164.0,16
178,183.0,25
185,inf,18
150,157.0,13
122,131.0,17
131,137.0,91
166,179.0,164
176,187.0,14
181,187.0,14
164,173.0,13
148,153.0,13
147,158.0,16
119,121.0,16
127,136.0,1
109,146.0,109
141,146.0,1
158,165.0,14
116,121.0,13
117,122.0,13
131,138.0,13
103,109.0,37
139,145.0,63
142,149.0,63
169,179.0,13
182,inf,13
170,175.0,13
169,178.0,13
165,171.0,13
158,168.0,109
136,139.0,14
160,166.0,13
106,110.0,1
110,116.0,1
92,98.0,74
157,164.0,13
124,129.0,13
121,129.0,13
134,146.0,26
145,155.0,13
158,163.0,13
145,150.0,15
160,166.0,13
187,inf,25
133,140.0,25
180,186.0,13
67,73.0,15
148,153.0,19
116,120.0,26
143,150.0,13
122,127.0,13
133,140.0,19
157,163.0,1
181,187.0,1
177,182.0,13
171,176.0,13
93,99.0,83
147,151.0,18
135,147.0,124
171,177.0,29
181,inf,13
151,160.0,3
121,127.0,13
121,132.0,20
157,164.0,121
151,157.0,61
181,inf,61
72,inf,63
158,164.0,15
72,inf,62
133,139.0,15
153,159.0,16
106,113.0,15
155,157.0,13
171,176.0,13
159,166.0,25
139,145.0,25
176,182.0,134
104,111.0,14
134,140.0,18
127,133.0,24
63,68.0,24
73,80.0,13
158,164.0,13
153,160.0,25
133,139.0,23
34,inf,25
105,111.0,13
135,143.0,26
176,183.0,132
140,145.0,14
181,187.0,17
36,inf,13
116,122.0,26
159,164.0,15
144,147.0,13
124,127.0,28
132,139.0,15
172,178.0,19
180,186.0,18
152,157.0,13
182,inf,19
161,168.0,21
171,177.0,15
114,120.0,20
177,183.0,135
164,169.0,26
107,113.0,26
153,159.0,15
157,163.0,13
157,160.0,13
145,153.0,15
140,145.0,25
134,140.0,15
175,182.0,25
116,122.0,26
135,141.0,15
146,154.0,15
152,161.0,18
31,inf,23
109,116.0,37
154,163.0,13
187,inf,54
151,168.0,151
151,160.0,13
118,124.0,61
151,159.0,14
134,140.0,14
133,139.0,13
143,154.0,17
133,144.0,40
164,167.0,36
150,155.0,1
187,inf,13
135,142.0,17
148,156.0,17
157,169.0,3
158,163.0,13
182,189.0,13
178,185.0,17
170,179.0,49
158,163.0,13
125,132.0,13
115,123.0,13
122,131.0,13
146,152.0,15
170,176.0,13
145,148.0,16
127,132.0,16
182,188.0,1
146,153.0,1
166,171.0,41
164,177.0,13
158,164.0,125
154,158.0,14
133,142.0,26
122,128.0,15
133,139.0,13
98,103.0,26
162,169.0,14
131,134.0,13
119,123.0,13
189,inf,109
165,168.0,13
177,179.0,13
135,141.0,6
181,189.0,14
141,147.0,29
145,154.0,13
117,119.0,14
179,183.0,3
67,inf,25
149,152.0,73
139,146.0,14
133,143.0,17
182,189.0,2
110,119.0,3
190,inf,13
164,169.0,13
157,164.0,14
115,121.0,13
158,165.0,158
139,147.0,13
128,135.0,13
181,inf,13
182,188.0,14
98,103.0,14
139,149.0,61
154,160.0,18
139,147.0,14
169,175.0,14
158,165.0,14
100,106.0,15
171,179.0,14
172,179.0,18
164,170.0,164
163,169.0,13
154,156.0,13
167,173.0,18
157,163.0,1
145,151.0,1
133,144.0,13
115,124.0,16
133,142.0,100
135,141.0,50
139,146.0,25
98,107.0,13
170,175.0,13
133,141.0,14
182,inf,14
172,182.0,14
181,187.0,17
134,149.0,26
145,155.0,13
172,174.0,13
103,109.0,49
107,111.0,18
133,139.0,19
163,169.0,25
170,176.0,25
147,151.0,25
145,152.0,49
126,131.0,109
160,167.0,13
149,163.0,14
170,176.0,25
168,170.0,25
166,172.0,42
162,168.0,13
144,158.0,111
152,inf,145
157,163.0,15
154,157.0,15
168,174.0,15
162,174.0,15
158,166.0,13
182,188.0,13
182,inf,15
145,153.0,46
147,153.0,15
151,157.0,133
159,167.0,13
151,161.0,13
189,inf,15
178,182.0,25
157,164.0,13
127,133.0,13
166,169.0,13
157,166.0,21
55,inf,49
177,181.0,61
160,167.0,17
139,147.0,17
146,155.0,14
187,inf,15
127,134.0,17
159,164.0,25
123,129.0,15
171,174.0,15
109,116.0,14
155,160.0,14
147,153.0,26
87,95.0,16
170,176.0,16
175,181.0,13
127,135.0,16
127,135.0,14
160,162.0,13
116,122.0,14
166,166.0,109
121,127.0,14
175,181.0,13
145,151.0,13
134,140.0,68
85,88.0,1
136,139.0,13
132,135.0,15
152,157.0,18
187,inf,15
140,146.0,14
159,164.0,14
145,155.0,19
145,156.0,1
145,157.0,1
140,147.0,1
176,184.0,16
170,178.0,170
139,145.0,14
107,111.0,20
151,157.0,134
